year,level_1,level_2,value
1964,Female Age Specific Death Rate,40 - 44 Years,3.1
1964,Female Age Specific Death Rate,45 - 49 Years,4.8
1964,Female Age Specific Death Rate,50 - 54 Years,8.4
1964,Female Age Specific Death Rate,55 - 59 Years,12.7
1964,Female Age Specific Death Rate,60 - 64 Years,20.1
1964,Female Age Specific Death Rate,65 - 69 Years,29.7
1964,Female Age Specific Death Rate,70 - 74 Years,na
1964,Female Age Specific Death Rate,75 Years & Over,na
1964,Female Age Specific Death Rate,70 Years & Over,76.6
1964,Female Age Specific Death Rate,75 - 79 Years,na
1964,Female Age Specific Death Rate,80 - 84 Years,na
1964,Female Age Specific Death Rate,85 Years & Over,na
1964,Total Age Specific Death Rate,Under 1 Year,29.9
1964,Total Age Specific Death Rate,1  -  4 Years,1.9
1964,Total Age Specific Death Rate,5  -  9 Years,0.7
1964,Total Age Specific Death Rate,10 - 14 Years,0.6
1964,Total Age Specific Death Rate,15 - 19 Years,0.8
1964,Total Age Specific Death Rate,20 - 24 Years,1.1
1964,Total Age Specific Death Rate,25 - 29 Years,1.3
1964,Total Age Specific Death Rate,30 - 34 Years,1.7
1964,Total Age Specific Death Rate,35 - 39 Years,2.6
1964,Total Age Specific Death Rate,40 - 44 Years,4.3
1964,Total Age Specific Death Rate,45 - 49 Years,6.4
1964,Total Age Specific Death Rate,50 - 54 Years,12
1964,Total Age Specific Death Rate,55 - 59 Years,18
1964,Total Age Specific Death Rate,60 - 64 Years,30.2
1964,Total Age Specific Death Rate,65 - 69 Years,42.4
1964,Total Age Specific Death Rate,70 - 74 Years,na
1964,Total Age Specific Death Rate,75 Years & Over,na
1964,Total Age Specific Death Rate,70 Years & Over,95.2
1964,Total Age Specific Death Rate,75 - 79 Years,na
1964,Total Age Specific Death Rate,80 - 84 Years,na
1964,Total Age Specific Death Rate,85 Years & Over,na
1965,Male Age Specific Death Rate,Under 1 Year,30.5
1965,Male Age Specific Death Rate,1  -  4 Years,2
1965,Male Age Specific Death Rate,5  -  9 Years,0.7
1965,Male Age Specific Death Rate,10 - 14 Years,0.7
1965,Male Age Specific Death Rate,15 - 19 Years,0.9
1965,Male Age Specific Death Rate,20 - 24 Years,1.6
1965,Male Age Specific Death Rate,25 - 29 Years,1.5
1965,Male Age Specific Death Rate,30 - 34 Years,1.9
1965,Male Age Specific Death Rate,35 - 39 Years,3
1965,Male Age Specific Death Rate,40 - 44 Years,4.4
1965,Male Age Specific Death Rate,45 - 49 Years,7.3
1965,Male Age Specific Death Rate,50 - 54 Years,12.1
1965,Male Age Specific Death Rate,55 - 59 Years,22.9
1965,Male Age Specific Death Rate,60 - 64 Years,35.1
1965,Male Age Specific Death Rate,65 - 69 Years,58.6
1965,Male Age Specific Death Rate,70 - 74 Years,na
1965,Male Age Specific Death Rate,75 Years & Over,na
1965,Male Age Specific Death Rate,70 Years & Over,136.3
1965,Male Age Specific Death Rate,75 - 79 Years,na
1965,Male Age Specific Death Rate,80 - 84 Years,na
1965,Male Age Specific Death Rate,85 Years & Over,na
1965,Female Age Specific Death Rate,Under 1 Year,21.8
1965,Female Age Specific Death Rate,1  -  4 Years,1.9
1965,Female Age Specific Death Rate,5  -  9 Years,0.6
1965,Female Age Specific Death Rate,10 - 14 Years,0.5
1965,Female Age Specific Death Rate,15 - 19 Years,0.5
1965,Female Age Specific Death Rate,20 - 24 Years,0.9
1965,Female Age Specific Death Rate,25 - 29 Years,0.9
1965,Female Age Specific Death Rate,30 - 34 Years,1.4
1965,Female Age Specific Death Rate,35 - 39 Years,2.2
1965,Female Age Specific Death Rate,40 - 44 Years,3.2
1965,Female Age Specific Death Rate,45 - 49 Years,4.7
1965,Female Age Specific Death Rate,50 - 54 Years,7.4
1965,Female Age Specific Death Rate,55 - 59 Years,12.7
1965,Female Age Specific Death Rate,60 - 64 Years,17.5
1965,Female Age Specific Death Rate,65 - 69 Years,30.6
1965,Female Age Specific Death Rate,70 - 74 Years,na
1965,Female Age Specific Death Rate,75 Years & Over,na
1965,Female Age Specific Death Rate,70 Years & Over,82.6
1965,Female Age Specific Death Rate,75 - 79 Years,na
1965,Female Age Specific Death Rate,80 - 84 Years,na
1965,Female Age Specific Death Rate,85 Years & Over,na
1965,Total Age Specific Death Rate,Under 1 Year,26.3
1965,Total Age Specific Death Rate,1  -  4 Years,1.9
1965,Total Age Specific Death Rate,5  -  9 Years,0.6
1965,Total Age Specific Death Rate,10 - 14 Years,0.6
1965,Total Age Specific Death Rate,15 - 19 Years,0.7
1965,Total Age Specific Death Rate,20 - 24 Years,1.3
1965,Total Age Specific Death Rate,25 - 29 Years,1.2
1965,Total Age Specific Death Rate,30 - 34 Years,1.6
1965,Total Age Specific Death Rate,35 - 39 Years,2.6
1965,Total Age Specific Death Rate,40 - 44 Years,3.9
1965,Total Age Specific Death Rate,45 - 49 Years,6.1
1965,Total Age Specific Death Rate,50 - 54 Years,10
1965,Total Age Specific Death Rate,55 - 59 Years,18.2
1965,Total Age Specific Death Rate,60 - 64 Years,27
1965,Total Age Specific Death Rate,65 - 69 Years,43.6
1965,Total Age Specific Death Rate,70 - 74 Years,na
1965,Total Age Specific Death Rate,75 Years & Over,na
1965,Total Age Specific Death Rate,70 Years & Over,101
1965,Total Age Specific Death Rate,75 - 79 Years,na
1965,Total Age Specific Death Rate,80 - 84 Years,na
1965,Total Age Specific Death Rate,85 Years & Over,na
1966,Male Age Specific Death Rate,Under 1 Year,28.3
1966,Male Age Specific Death Rate,1  -  4 Years,2
1966,Male Age Specific Death Rate,5  -  9 Years,0.7
1966,Male Age Specific Death Rate,10 - 14 Years,0.6
1966,Male Age Specific Death Rate,15 - 19 Years,0.9
1966,Male Age Specific Death Rate,20 - 24 Years,1.8
1966,Male Age Specific Death Rate,25 - 29 Years,1.3
1966,Male Age Specific Death Rate,30 - 34 Years,1.9
1966,Male Age Specific Death Rate,35 - 39 Years,2.9
1966,Male Age Specific Death Rate,40 - 44 Years,3.4
